method,rows,time_min
FRONT_TO_BACK,50,263.3440917011504
FRONT_TO_BACK,50,246.72882475752786
FRONT_TO_BACK,50,240.6509293824399
FRONT_TO_BACK,50,225.9157198957378
FRONT_TO_BACK,50,242.46559803114798
FRONT_TO_BACK,50,273.7606059642844
BLOCKS_K2,50,79.11677544059499
BLOCKS_K2,50,76.48119822962389
BLOCKS_K2,50,79.68166704008907
BLOCKS_K2,50,69.38723958204844
BLOCKS_K2,50,73.69619343617863
BLOCKS_K2,50,66.5340932224068
BLOCKS_K2,50,74.53807409305706
BLOCKS_K2,50,73.59259431991322
BLOCKS_K2,50,80.985190766034
BLOCKS_K2,50,72.02022196524297
BLOCKS_K2,50,66.616041853973
BLOCKS_K2,50,71.4832243545311
BLOCKS_K2,50,75.53120755131857
BLOCKS_K2,50,77.55993870800285
BLOCKS_K2,50,71.45585814178442
BLOCKS_K2,50,68.94314019954354
BLOCKS_K2,50,73.08239352121913
BLOCKS_K2,50,82.74219272183265
BLOCKS_K2,50,77.14055283831955
BLOCKS_K2,50,81.65002414229738
BLOCKS_K2,50,79.07119108803244
BLOCKS_K2,50,84.08893541829016
BLOCKS_K2,50,96.94000103508414
BLOCKS_K2,50,77.67594049325442
BLOCKS_K2,50,78.98501127310536
BLOCKS_K2,50,64.37453390619278
BLOCKS_K2,50,87.07870833449432
BLOCKS_K2,50,79.0056068892238
BLOCKS_K2,50,82.07206488128588
BLOCKS_K2,50,83.82377927851196
BLOCKS_K2,50,78.68551440295604
BLOCKS_K2,50,64.436747314182
BLOCKS_K2,50,73.00844173860139
BLOCKS_K2,50,76.09983521190276
BLOCKS_K2,50,86.82373546777892
BLOCKS_K2,50,66.90873386106534
BLOCKS_K2,50,86.46836539013078
BLOCKS_K2,50,67.02988774911724
BLOCKS_K2,50,75.6327340776162
BLOCKS_K2,50,83.80419708700497
BLOCKS_K2,50,76.66040092376159
BLOCKS_K2,50,83.73761272586457
BLOCKS_K2,50,78.76750254312262
BLOCKS_K2,50,80.64748830264075
BLOCKS_K2,50,78.9281767270079
BLOCKS_K2,50,92.5669416418394
BLOCKS_K2,50,81.1234759715611
BLOCKS_K2,50,68.31892537460004
BLOCKS_K2,50,78.50663084519024
BLOCKS_K2,50,84.57966757111863
BLOCKS_K2,50,79.5978832561897
BLOCKS_K2,50,70.83594996306644
BLOCKS_K2,50,69.16272860635878
BLOCKS_K2,50,80.46407703350587
BLOCKS_K2,50,70.7186929000243
BLOCKS_K2,50,64.44573421843974
BLOCKS_K2,50,80.90664181590378
BLOCKS_K2,50,70.06535263544525
BLOCKS_K2,50,77.71595531645899
BLOCKS_K2,50,71.45150003469682
RANDOM,60,146.24279275228545
RANDOM,60,160.8640766448435
RANDOM,60,150.31125980324938
RANDOM,60,144.83656904154452
RANDOM,60,157.54454458201025
RANDOM,60,163.77152210570924
RANDOM,60,163.59694615731632
RANDOM,60,137.9982303627802
RANDOM,60,157.8480636853614
RANDOM,60,136.50090976165842
RANDOM,60,139.72544698875262
RANDOM,60,146.25653423716918
RANDOM,60,153.4079241261803
RANDOM,60,149.1517938235923
RANDOM,60,170.15240519385884
RANDOM,60,152.14491816279124
RANDOM,60,157.6853807491711
RANDOM,60,147.63518872105752
RANDOM,60,141.0167763273092
RANDOM,60,132.87646650379335
RANDOM,60,157.90629782448318
RANDOM,60,169.0030982392922
RANDOM,60,139.7958106961509
RANDOM,60,170.1874724870105
RANDOM,60,153.32351115177713
RANDOM,60,156.11675601657387
RANDOM,60,129.8305012403337
RANDOM,60,159.1652934182296
RANDOM,60,146.25069262721996
RANDOM,60,138.2626288203304
RANDOM,60,147.14439486559596
RANDOM,60,151.1114171248526
RANDOM,60,142.1736279537244
RANDOM,60,139.98532272754173
RANDOM,60,149.97766316963106
RANDOM,60,146.04216242818063
RANDOM,60,159.04026937874445
RANDOM,60,165.8719142901914
RANDOM,60,143.59297158472845
RANDOM,60,138.63184595360465
RANDOM,60,153.9190751633255
RANDOM,60,175.73193112521378
RANDOM,60,167.61343374741185
RANDOM,60,155.6693323910856
RANDOM,60,172.19083841576526
RANDOM,60,153.58176728492816
RANDOM,60,133.55472347724108
RANDOM,60,157.21887867446785
RANDOM,60,121.76940512762718
RANDOM,60,150.75127545550328
RANDOM,60,148.54999533135899
RANDOM,60,144.48585962527616
RANDOM,60,124.14764666280465
RANDOM,60,143.81052635534888
RANDOM,60,156.09546886241733
RANDOM,60,154.49826732053256
RANDOM,60,146.05557702707162
RANDOM,60,144.3790092558436
RANDOM,60,154.83426798049018
RANDOM,60,148.83455118356065
BACK_TO_FRONT,60,225.40748292048292
BACK_TO_FRONT,60,231.5021534137543
BACK_TO_FRONT,60,234.31396769423142
BACK_TO_FRONT,60,232.6516299754103
BACK_TO_FRONT,60,233.48812947625666
BACK_TO_FRONT,60,228.91817707041372
BACK_TO_FRONT,60,230.69611731321535
BACK_TO_FRONT,60,208.16391880726053
BACK_TO_FRONT,60,236.66715777339388
BACK_TO_FRONT,60,237.27891832104228
BACK_TO_FRONT,60,225.3143813897067
BACK_TO_FRONT,60,228.6169259096216
BACK_TO_FRONT,60,227.55342312223937
BACK_TO_FRONT,60,220.60968096929085
BACK_TO_FRONT,60,221.4827209814661
BACK_TO_FRONT,60,233.83948069599617
BACK_TO_FRONT,60,234.47288867506555
BACK_TO_FRONT,60,257.8222792784907
BACK_TO_FRONT,60,222.03409236825584
BACK_TO_FRONT,60,226.8405625084962
BACK_TO_FRONT,60,233.03229540947575
BACK_TO_FRONT,60,237.2910140449082
BACK_TO_FRONT,60,197.03706519448073
BACK_TO_FRONT,60,239.3917241720901
BACK_TO_FRONT,60,232.0788176614556
BACK_TO_FRONT,60,225.90131012612488
