method,seed,time_min
FrontToBack,20250983,619.7841521044539
FrontToBack,20250984,585.2742114833962
FrontToBack,20250985,580.2497422358634
FrontToBack,20250986,575.1448980407881
FrontToBack,20250987,579.1749506012865
FrontToBack,20250988,579.3644691050026
FrontToBack,20250989,600.5678135068506
FrontToBack,20250990,589.0218714591407
FrontToBack,20250991,592.416224666214
FrontToBack,20250992,596.7114440530603
FrontToBack,20250993,582.7856096750519
FrontToBack,20250994,587.3835801468902
FrontToBack,20250995,592.4907974778727
FrontToBack,20250996,588.5027092046004
FrontToBack,20250997,579.7015469659641
FrontToBack,20250998,587.756027587699
FrontToBack,20250999,608.7110568594928
FrontToBack,20251000,616.8251452535578
FrontToBack,20251001,600.832380450854
FrontToBack,20251002,578.3735887635592
FrontToBack,20251003,577.5108543458365
FrontToBack,20251004,598.3095669026258
FrontToBack,20251005,598.6043676799455
FrontToBack,20251006,583.1473667152351
FrontToBack,20251007,599.1264738158136
FrontToBack,20251008,573.5812307375149
FrontToBack,20251009,583.560103173675
FrontToBack,20251010,594.7301459099245
FrontToBack,20251011,577.3634799779979
FrontToBack,20251012,570.3767402876559
FrontToBack,20251013,600.655918735733
FrontToBack,20251014,574.3781652943936
FrontToBack,20251015,574.7391488456036
FrontToBack,20251016,592.0335130633532
FrontToBack,20251017,584.7673387955501
FrontToBack,20251018,617.4852181039091
FrontToBack,20251019,590.0321005058354
FrontToBack,20251020,582.7955670338106
FrontToBack,20251021,586.1456747597135
FrontToBack,20251022,568.4621881381549
FrontToBack,20251023,594.1599567191167
FrontToBack,20251024,621.2155156731652
FrontToBack,20251025,598.6102137627665
FrontToBack,20251026,584.8615783981415
FrontToBack,20251027,595.3277857144949
FrontToBack,20251028,604.615475383663
FrontToBack,20251029,570.0278504670741
FrontToBack,20251030,606.3417971785499
FrontToBack,20251031,566.289992490949
FrontToBack,20251032,598.2321267457468
FrontToBack,20251033,596.6912993094747
FrontToBack,20251034,586.6923781951753
FrontToBack,20251035,592.485943858214
FrontToBack,20251036,581.4404785242787
FrontToBack,20251037,597.924256433301
FrontToBack,20251038,607.8585495482972
FrontToBack,20251039,571.8242660546206
FrontToBack,20251040,582.8482734334923
FrontToBack,20251041,592.7878796684693
FrontToBack,20251042,579.092764488796
FrontToBack,20251043,586.4495675621861
FrontToBack,20251044,604.6235201573672
FrontToBack,20251045,577.7242286217758
FrontToBack,20251046,552.510784765081
FrontToBack,20251047,600.2403051834333
FrontToBack,20251048,603.7601416253892
FrontToBack,20251049,599.73596094371
FrontToBack,20251050,577.7011642223429
FrontToBack,20251051,571.6257304022741
FrontToBack,20251052,582.2649390165694
FrontToBack,20251053,557.1872540561372
FrontToBack,20251054,593.4414177313591
FrontToBack,20251055,563.9369233542659
FrontToBack,20251056,585.1232041392143
FrontToBack,20251057,599.4886668512451
FrontToBack,20251058,568.0310506701239
FrontToBack,20251059,557.3276759246495
FrontToBack,20251060,607.5374507819502
FrontToBack,20251061,600.3529729303717
FrontToBack,20251062,565.9729466383095
FrontToBack,20251063,608.7252227617188
FrontToBack,20251064,577.7422920735652
FrontToBack,20251065,601.6886737903029
FrontToBack,20251066,598.3563732195852
FrontToBack,20251067,588.7363437808774
FrontToBack,20251068,585.3059457030022
FrontToBack,20251069,602.2765460920494
FrontToBack,20251070,615.1587008902723
FrontToBack,20251071,599.7716240740821
FrontToBack,20251072,579.6578250408622
FrontToBack,20251073,557.5081691018088
FrontToBack,20251074,585.1902496958355
FrontToBack,20251075,599.8213406790778
FrontToBack,20251076,590.3910977076479
FrontToBack,20251077,582.8539803533081
FrontToBack,20251078,591.7473351281815
FrontToBack,20251079,579.8895030834557
